Year,Exports (including re-exports),Imports,Trade Balance,Rate of Change Export (per cent),Rate of Change Import (per cent)
1949-50,485,617,-132,NA,NA
1950-51,606,608,-2,25,-1.5
1951-52,716,890,-174,18.2,46.4
1952-53,578,702,-124,-19.3,-21.1
1953-54,531,610,-79,-8.1,-13.1
1954-55,593,700,-107,11.7,14.8
1955-56,609,774,-165,2.7,10.6
1956-57,605,841,-236,-0.7,8.7
1957-58,561,1035,-474,-7.3,23.1
1958-59,581,906,-325,3.6,-12.5
1959-60,640,961,-321,10.2,6.1
1960-61,642,1122,-480,0.3,16.8
1961-62,660,1090,-430,2.8,-2.9
1962-63,685,1131,-446,3.8,3.8
1963-64,793,1223,-430,15.8,8.1
1964-65,816,1349,-533,2.9,10.3
1965-66,810,1409,-599,-0.7,4.5
1966-67,1157,2078,-921,42.8,47.5
1967-68,1199,2008,-809,3.6,-3.4
1968-69,1358,1909,-551,13.3,-4.9
1969-70,1413,1582,-169,4.1,-17.1
1970-71,1535,1634,-99,8.6,3.3
1971-72,1608,1825,-217,4.8,11.7
1972-73,1971,1867,104,22.6,2.3
1973-74,2523,2955,-432,28,58.3
1974-75,3329,4519,-1190,32,52.9
1975-76,4036,5265,-1229,21.2,16.5
1976-77,5142,5074,68,27.4,-3.6
1977-78,5408,6020,-612,5.2,18.6
1978-79,5726,6811,-1085,5.9,13.1
1979-80,6418,9143,-2725,12.1,34.2
1980-81,6711,12549,-5838,4.6,37.3
1981-82,7806,13608,-5802,16.3,8.4
1982-83,8803,14293,-5490,12.8,5
1983-84,9771,15831,-6060,11,10.8
1984-85,11744,17134,-5390,20.2,8.2
1985-86,10895,19658,-8763,-7.2,14.7
1986-87,12452,20096,-7644,14.3,2.2
1987-88,15674,22244,-6570,25.9,10.7
1988-89,20232,28235,-8003,29.1,26.9
1989-90,27658,35328,-7670,36.7,25.1
1990-91,32553,43198,-10645,17.7,22.3
1991-92,44041,47851,-3810,35.3,10.8
1992-93,53688,63375,-9687,21.9,32.4
1993-94,69751,73101,-3350,29.9,15.4
1994-95,82674,89971,-7297,18.5,23.1
1995-96,106353,122678,-16325,28.6,36.4
1996-97,118817,138920,-20103,11.7,13.2
1997-98,130100,154176,-24076,9.5,11
1998-99,139752,178332,-38580,7.4,15.7
1999-2000,159561,215236,-55675,14.2,20.7
2000-01,203571,230873,-27302,27.6,7.3
2001-02,209018,245200,-36182,2.7,6.2
2002-03,255137,297206,-42069,22.1,21.2
2003-04,293367,359108,-65741,15,20.8
2004-05,375340,501065,-125725,27.9,39.5
2005-06,456418,660409,-203991,21.6,31.8
2006-07,571779,840506,-268727,25.3,27.3
2007-08,655864,1012312,-356448,14.7,20.4
2008-09,840755,1374436,-533680,28.2,35.8
2009-10,845534,1363736,-518202,0.6,-0.8
2010-11,1142922,1683467,-540545,35.2,23.5
2011-12,1465959,2345463,-879504,28.3,39.3
2012-13,1166439,1967522,-801083,9.4,14.8
